trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1482,False,"{'a': 0.5, 'e': 0.08867968275988676}",20,0,9.364695019614555,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
1483,False,"{'a': 0.5, 'e': 0.08768357839015435}",20,11,20.235489148769584,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1484,False,"{'a': 0.5, 'e': 0.08668738633685107}",20,7,23.417873950433265,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1485,False,"{'a': 0.5, 'e': 0.08569110759616845}",20,13,1.614344145220106,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1486,False,"{'a': 0.5, 'e': 0.08469474316438559}",20,0,19.134264584757894,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1487,False,"{'a': 0.5, 'e': 0.08369829403786642}",25,13,-1.087735606108223,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1488,False,"{'a': 0.5, 'e': 0.0827017612130604}",25,12,23.516471710791166,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1489,False,"{'a': 0.5, 'e': 0.08170514568649984}",35,23,22.08877737022897,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1490,False,"{'a': 0.5, 'e': 0.08070844845480062}",30,12,34.382569010009476,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1491,False,"{'a': 0.5, 'e': 0.07971167051465945}",25,13,-20.317581039575252,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1492,False,"{'a': 0.5, 'e': 0.07871481286285463}",30,9,35.86145173355219,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1493,False,"{'a': 0.5, 'e': 0.07771787649624329}",25,15,7.240724006405401,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1494,False,"{'a': 0.5, 'e': 0.07672086241176214}",30,17,-16.943065270705087,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
1495,False,"{'a': 0.5, 'e': 0.07572377160642475}",20,15,9.025727938658614,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
