trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1890,False,"{'a': 0.5, 'e': 0.15107180883637084}",30,19,21.118251206850054,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1891,False,"{'a': 0.5, 'e': 0.15092081253826656}",25,11,-21.129840375054073,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1892,False,"{'a': 0.5, 'e': 0.15076996716098734}",25,8,31.052525546962986,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1893,False,"{'a': 0.5, 'e': 0.15061927255368793}",20,10,19.48563746435885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1894,False,"{'a': 0.5, 'e': 0.15046872856567356}",25,16,16.32253135185221,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1895,False,"{'a': 0.5, 'e': 0.15031833504640033}",30,16,14.683880292933651,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1896,False,"{'a': 0.5, 'e': 0.15016809184547464}",30,16,-36.06872463700256,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
1897,False,"{'a': 0.5, 'e': 0.15001799881265335}",25,0,3.8940895497194834,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
1898,False,"{'a': 0.5, 'e': 0.14986805579784332}",25,10,25.82368428176916,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1899,False,"{'a': 0.5, 'e': 0.14971826265110164}",20,1,-5.124845059694226,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
1900,False,"{'a': 0.5, 'e': 0.14956861922263504}",25,15,6.6448465527801925,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1901,False,"{'a': 0.5, 'e': 0.14941912536280016}",25,17,12.883719392879954,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1902,False,"{'a': 0.5, 'e': 0.14926978092210305}",30,6,12.198697525261428,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
1903,False,"{'a': 0.5, 'e': 0.14912058575119935}",35,21,26.23546614407512,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1904,False,"{'a': 0.5, 'e': 0.1489715397008938}",20,14,-2.1165193156031403,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
1905,False,"{'a': 0.5, 'e': 0.14882264262214037}",25,3,-24.212167882575752,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
1906,False,"{'a': 0.5, 'e': 0.14867389436604195}",30,16,-19.050692240223178,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1907,False,"{'a': 0.5, 'e': 0.14852529478385032}",20,9,16.92592859629605,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1908,False,"{'a': 0.5, 'e': 0.14837684372696583}",25,20,7.956511687219873,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1909,False,"{'a': 0.5, 'e': 0.14822854104693745}",20,9,-22.08810325097903,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
1910,False,"{'a': 0.5, 'e': 0.14808038659546244}",20,10,19.77584703619077,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1911,False,"{'a': 0.5, 'e': 0.1479323802243864}",25,10,27.40885026024322,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1912,False,"{'a': 0.5, 'e': 0.14778452178570287}",35,18,27.01381255160338,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
1913,False,"{'a': 0.5, 'e': 0.14763681113155347}",20,16,7.874226150589871,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1914,False,"{'a': 0.5, 'e': 0.14748924811422748}",20,16,8.778655156187511,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1915,False,"{'a': 0.5, 'e': 0.14734183258616193}",20,13,13.265879828938914,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1916,False,"{'a': 0.5, 'e': 0.14719456439994122}",30,16,27.015195328371078,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1917,False,"{'a': 0.5, 'e': 0.1470474434082972}",25,15,16.695966835066912,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1918,False,"{'a': 0.5, 'e': 0.1469004694641088}",20,12,-25.97422966270278,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1919,False,"{'a': 0.5, 'e': 0.14675364242040215}",25,12,23.624653545215523,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1920,False,"{'a': 0.5, 'e': 0.14660696213035015}",30,16,26.467658473536158,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1921,False,"{'a': 0.5, 'e': 0.14646042844727247}",20,14,12.45018533871857,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1922,False,"{'a': 0.5, 'e': 0.14631404122463545}",25,17,18.615315574356703,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1923,False,"{'a': 0.5, 'e': 0.14616780031605184}",30,16,13.741368750481822,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1924,False,"{'a': 0.5, 'e': 0.14602170557528074}",30,20,19.17539062995001,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1925,False,"{'a': 0.5, 'e': 0.14587575685622736}",25,14,15.099218614415532,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1926,False,"{'a': 0.5, 'e': 0.14572995401294303}",30,17,23.882902943722417,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1927,False,"{'a': 0.5, 'e': 0.14558429689962482}",30,1,46.92266921146985,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
1928,False,"{'a': 0.5, 'e': 0.1454387853706157}",20,12,15.845427367565527,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1929,False,"{'a': 0.5, 'e': 0.145293419280404}",25,16,9.853277696214484,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1930,False,"{'a': 0.5, 'e': 0.14514819848362373}",25,3,-17.67256426329186,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
1931,False,"{'a': 0.5, 'e': 0.145003122835054}",20,4,27.967901866090102,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1932,False,"{'a': 0.5, 'e': 0.14485819218961926}",35,25,11.506236717261014,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1933,False,"{'a': 0.5, 'e': 0.14471340640238872}",25,2,13.453847353821548,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
1934,False,"{'a': 0.5, 'e': 0.14456876532857668}",20,0,30.01958130042454,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1935,False,"{'a': 0.5, 'e': 0.14442426882354198}",20,8,-18.18370212855664,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1936,False,"{'a': 0.5, 'e': 0.14427991674278817}",30,15,10.778566697358558,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1937,False,"{'a': 0.5, 'e': 0.1441357089419631}",20,10,20.507293078759474,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1938,False,"{'a': 0.5, 'e': 0.143991645276859}",25,11,-5.113513745324337,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
1939,False,"{'a': 0.5, 'e': 0.14384772560341216}",30,18,10.94375564107968,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1940,False,"{'a': 0.5, 'e': 0.14370394977770293}",25,10,23.12671432475221,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1941,False,"{'a': 0.5, 'e': 0.14356031765595542}",30,7,32.9495383134537,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
1942,False,"{'a': 0.5, 'e': 0.14341682909453757}",25,18,15.142944618680717,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1943,False,"{'a': 0.5, 'e': 0.14327348394996073}",20,9,22.42744961752174,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
