trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
209,False,"{'a': 0.05, 'e': 0.3516918193780669}",20,0,13.379734230526426,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
210,False,"{'a': 0.05, 'e': 0.3499377491111553}",30,0,-50.4409383284224,"{0: 24, 1: 0, 2: 3, 3: 3, 4: 0}",0
211,False,"{'a': 0.05, 'e': 0.3481924273061976}",25,0,-4.619523488273532,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
212,False,"{'a': 0.05, 'e': 0.3464558103300574}",30,17,17.311369773658566,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.05, 'e': 0.3447278547672202}",30,0,-95.16775138569098,"{0: 25, 1: 1, 2: 0, 3: 2, 4: 2}",0
214,False,"{'a': 0.05, 'e': 0.34300851741870664}",25,13,20.282261588916526,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.05, 'e': 0.3412977553009937}",25,0,15.111670996813274,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
216,False,"{'a': 0.05, 'e': 0.3395955256449391}",20,0,-34.39940478064297,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
217,False,"{'a': 0.05, 'e': 0.33790178589471304}",25,3,-97.94687452434061,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 1}",1
218,False,"{'a': 0.05, 'e': 0.3362164937067333}",30,14,16.95101068577266,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.05, 'e': 0.3345396069486076}",20,15,10.499558183356514,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.05, 'e': 0.33287108369807955}",20,0,-4.315981926255192,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
221,False,"{'a': 0.05, 'e': 0.331210882241981}",20,8,9.943555344357469,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.05, 'e': 0.32955896107518906}",25,0,-4.79708335820922,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
223,False,"{'a': 0.05, 'e': 0.32791527889958855}",20,0,-13.217977919362982,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
224,False,"{'a': 0.05, 'e': 0.32627979462303947}",25,0,-57.559331148038694,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",1
225,False,"{'a': 0.05, 'e': 0.32465246735834974}",30,0,3.3305143117393836,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
226,False,"{'a': 0.05, 'e': 0.3230332564222529}",20,9,-17.446653685608172,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
227,False,"{'a': 0.05, 'e': 0.32142212133439135}",25,0,-55.24548932475242,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
228,False,"{'a': 0.05, 'e': 0.31981902181630384}",20,0,-115.7525863678215,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
229,False,"{'a': 0.05, 'e': 0.3182239177904191}",20,8,-64.76503218011425,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
230,False,"{'a': 0.05, 'e': 0.31663676937905316}",30,22,16.38113500585743,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.05, 'e': 0.3150575369034133}",20,11,19.161544084410806,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.05, 'e': 0.3134861808826053}",20,9,-8.073017210363085,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
233,False,"{'a': 0.05, 'e': 0.31192266203264674}",20,0,-20.854128848829507,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
234,False,"{'a': 0.05, 'e': 0.31036694126548503}",25,0,-39.05282481503375,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
235,False,"{'a': 0.05, 'e': 0.30881897968801986}",30,6,-31.72597378213391,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 0}",1
236,False,"{'a': 0.05, 'e': 0.30727873860113125}",30,17,-16.413911548026373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
237,False,"{'a': 0.05, 'e': 0.30574617949871175}",25,0,-3.5649072333126544,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
238,False,"{'a': 0.05, 'e': 0.3042212640667041}",20,4,-9.036214418825026,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
239,False,"{'a': 0.05, 'e': 0.30270395418214285}",20,0,-15.481796945135141,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
240,False,"{'a': 0.05, 'e': 0.30119421191220214}",25,12,-9.71954350265586,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
241,False,"{'a': 0.05, 'e': 0.2996919995132463}",25,8,18.14623519535693,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.05, 'e': 0.2981972794298874}",25,0,-87.71921481490662,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
243,False,"{'a': 0.05, 'e': 0.29671001429404525}",20,0,-45.35909129011106,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
244,False,"{'a': 0.05, 'e': 0.2952301669240142}",30,17,-12.344923073465155,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
245,False,"{'a': 0.05, 'e': 0.29375770032353277}",20,16,7.485218613887464,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.05, 'e': 0.2922925776808594}",25,13,-17.632729404675775,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
247,False,"{'a': 0.05, 'e': 0.29083476236785155}",20,10,-71.75317148733778,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
248,False,"{'a': 0.05, 'e': 0.2893842179390506}",30,0,9.131286380030739,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
249,False,"{'a': 0.05, 'e': 0.2879409081307702}",20,0,-12.76498604802392,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
250,False,"{'a': 0.05, 'e': 0.2865047968601901}",25,15,19.391151119896694,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.05, 'e': 0.28507584822445353}",25,12,22.793222647528673,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.05, 'e': 0.2836540264997704}",20,6,-73.1483706549788,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
253,False,"{'a': 0.05, 'e': 0.2822392961405233}",20,0,21.12871798107906,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
254,False,"{'a': 0.05, 'e': 0.2808316217783798}",20,6,2.730442054825386,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
255,False,"{'a': 0.05, 'e': 0.2794309682214073}",25,6,34.989310417631,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.05, 'e': 0.27803730045319414}",30,15,8.334460329820974,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
257,False,"{'a': 0.05, 'e': 0.2766505836319734}",25,13,22.61601578740091,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.05, 'e': 0.27527078308975234}",25,0,3.86575313244795,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
259,False,"{'a': 0.05, 'e': 0.2738978643314456}",35,10,9.26451338082806,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
260,False,"{'a': 0.05, 'e': 0.2725317930340126}",30,12,18.955206819308913,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.05, 'e': 0.2711725350455999}",30,3,7.975524348753255,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
262,False,"{'a': 0.05, 'e': 0.2698200563846868}",20,8,-27.63829366865906,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
263,False,"{'a': 0.05, 'e': 0.2684743232392366}",25,13,8.969493173039764,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.05, 'e': 0.26713530196585034}",25,0,-6.44721847466305,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
